Category,Funding Classification,Funder,Scheme,Academic CI and PCI costs,Personnel Costs,Other costs allowable,Ineligible costs,Monash Contribution (cash or in kind),Indirect Costs Allowable?,Indirect Cost Rate (if specified),Max indirect cost applied in application,last checked,,,,,,,,,,,,,,,,
Category 3,International not-for profit organisations,Michael J Fox Foundation for Parkinson's Research,All schemes,"Personnel Salaries, fringe benefits, ","> Personnel salaries + Fringe benefits - Proposed Annual Salary per FTE for personnel may not exceed the NIH salary cap at the time of application.
> Post-Doctoral Fellow stipends if the individual is providing ≥ 75% effort on the project

https://app.getguru.com/card/cGq4LAki/MJFF-Team-and-Budget-Guidelines","Consultant fees, research supplies, standard research equipment and maintenance that is required to conduct the proposed research, excluding general office computer and software upgrades, travel costs, 

For clinical studies only, the following costs are allowable:
 - Costs associated with recruitment & retention, including participant travel and/or accommodations
- Costs associated with grantee regulatory submissions, including the filing and maintenance of an IND application
- Costs associated with manufacturing, reformulating, or packaging investigational drugs

https://app.getguru.com/card/cGq4LAki/MJFF-Team-and-Budget-Guidelines","General office technology, including computers, software upgrades, and fees. Specialized equipment and technology needs may be considered, if deemed necessary to conduct the proposed research.

General office expenses, such as office supplies

Publication costs

Travel to conferences and MJFF initiated meetings

Entertainment

Accommodation costs or living expenses

Laboratory or facility renovation

Tuition-related costs for students and post-doctoral fellows, including student insurance, housing, visa, and tuition fees

Indirect costs in excess of MJFF’s policy 

https://app.getguru.com/card/cGq4LAki/MJFF-Team-and-Budget-Guidelines
",,Up to 10% for for profit institutions and up to 15% for non-profit and academic institutions,,"up to 15% for non profit, 10% for for-profit",24-Mar,,,,,,,,,,,,,,,,
Category 3,"Australian for-profit organisations/Australian philanthropy/Australian for-profit organisations
",The Hospitals Contribution Fund of Australia (trading as HCF Research Foundation),">TRANSLATIONAL RESEARCH GRANTS
> HEALTH SERVICES RESEARCH
GRANTS SCHEME",Support salaries for individuals for their time committed to the project. Additional salary on-costs is limited to 20%.,Support salaries for individuals for their time committed to the project. Additional salary on-costs is limited to 20%.,"Direct Research costs:
▪ Equipment, materials and consumables: The purchase of essential items and equipment specifically required for the
project is allowed if such items are normally not available.
▪ Research services: Research services directly required for the successful conduct of the project are permitted. B. Reasonable expenses
for computer services, or purchase/licensing of software is also permitted.
▪ Travel: Funds for travel will only be considered when they form an integral part of the project.
▪ Participant recruitment: costs for participant recruitment may be included where there is a justifiable need.

Research Translation cost:
▪ Publishing fees
▪ Peer engagement and training
▪ Consumer/patient education
▪ Government, funder, college, national body and other stakeholder engagement
▪ Clinical guidelines and/or policy change
▪ Media and promotions

Refer to guidelines: https://www.hcf.com.au/pdf/foundation/Translational_Research_Grant_Application_Guidelines.pdf","▪ salaries for staff based outside Australia
▪ Software development costs 
▪ Provision of clinical services
▪ Institutional overhead and administration costs (including office supplies)
▪ Research infrastructure
▪ Insurance costs
▪ Costs related to intellectual property
▪ Entertainment, hospitality and personal expenses (including subscriptions and professional membership fees)

Refer to guidelines: https://www.hcf.com.au/pdf/foundation/Translational_Research_Grant_Application_Guidelines.pdf",,Unallowable,,0%,24-Mar,,,,,,,,,,,,,,,,
Category 2,"Commonwealth (own purpose)/Commonwealth (other)
",Office of National Intelligence (ONI) (Australia),National Intelligence Discovery Grants (NIDG),"Salary support for a named CI, with less than 10 years since the award of earliest PhD, including Allowable Career Interruptions
Salary for PI not allowed.","> salary support for personnel, for example research associates and assistants,
technicians and laboratory attendants at an appropriate salary level, including 30
per cent on-costs, at the employing organisation. Salary support may only be
provided for Australian citizens, Australian Permanent Residents or New Zealand
Special Category Visa holders;
> stipends for 1.0 full time equivalent (FTE) HDR candidates, at an appropriate level
for the Administering Organisation or the relevant industry sector. Stipends may
only be provided for students who are Australian citizens, Australian Permanent
Residents or New Zealand Special Category Visa holders;
> Specifically, salary support for a Post Graduate researcher through NISDRG fellowship/scholarship","teaching relief for CIs up to a total of $50,000 per CI per year
travel costs essential to the project
expenditure on field research essential to the project, including technical and logistical
support, travel expenses (including accommodation, meals and incidental costs)
equipment (and its maintenance) and consumables essential for the project

Refer to guidelines for full list of other allowable cost: https://www.grants.gov.au/Go/Show?GoUuid=e517a820-b7ab-415f-b40b-fca9a8eb41c6&keyword=GO7803","> not be provided for equipment or consumables that are considered to be for broad
general use
> capital works and general infrastructure costs
> basic facilities that should normally be funded by an Administering Organisation,
> costs not directly related to the project, including but not limited to professional
membership fees, professional development courses, fees for patent application and
maintenance, equipment for live music or drama performances, equipment for gallery
and museum exhibitions, visas, relocation costs, entertainment costs, purchase of
alcohol, insurance, mobile phones (purchase or call charges) and other indirect costs;
> fees for international students or the Higher Education Contribution Scheme (HECS) and
Higher Education Loan Program (HELP) liabilities for students;
> salaries and/or on-costs, in whole or in part for PIs; and
> Salaries and/or on-costs, in whole or in part for a named CI, with more than 10 years
since the award of earliest PhD, including Allowable Career Interruptions.

Refer to grant guidelines:https://www.grants.gov.au/Fo/DownloadDocument/548363d0-6937-46c9-a7ca-d667dfdfbd4f?docType=Fo&fileName=NISDRG%20Grant%20Guidelines%202023%20edition%20V2.pdf&location=s3Restricted",,"Unallowable -  ""costs not directly related to the project"" not allowed. ",,0%,24-Mar,,,,,,,,,,,,,,,,
Category 3,"Australian not-for profit organisations/ Australian philanthropy
",Rebecca L Cooper Medical Research Foundation,Rebecca Cooper Fellowship,"Fellowship Salary Support (includes on-costs such as annual leave/LSL) capped at 220,000 per annum and Research Support Pacakage (80,000 per annum for 5 years)
must commit minimum 0.8 Full Time Equivalent to the Fellowship.

https://cooperfoundation.org.au/pdf/Website-terms-and-conditions.pdf","The RSP may be used for salary costs to employ research staff.
Funds provided to conduct a Research Activity (RSPs) cannot be used to supplement the Fellows’ salary.","Direct research costs including: 

> Biospecimens and associated data
> Equipment unique and essential
> Publications and Open Access Costs
> supplies, postage and telephone expenses critical to completing the research
>Travel costs are only DRCs if directly related to the approved research objectives of the Research Activity

Refer to full list below: 
https://www.cooperfoundation.org.au/drcs/","Conferences, Entertainment, Meals, Hospitality

Refer to full list below: 
https://www.cooperfoundation.org.au/drcs/",,"Unallowable - The Administering Institution (“Institution”) must agree to meet any additional employment-related
expenses for the recipient, as well as the normal overhead and operating expenses of the Institution, as
required to support the Fellow’s research",,No applications with costing in Pure,24-Mar,,,,,,,,,,,,,,,,
Category 3,"International for-profit organisations/ International philanthropy/ International not-for profit organisations

",British Academy,BA/Leverhulme Small Research Grants,"Principal Researcher payments in lieu of salary are not allowed
https://www.thebritishacademy.ac.uk/documents/5867/Small_Research_Grants_Scheme_Guidance_2025-2026.pdf",research assistance (based in UK or abroad),"project planning and development costs (cost of travel for discussion in the UK and overseas; initial workshops with potential partners)
travel and maintenance for UK scholars; including travel to disseminate results of the research at conferences held either in the UK or abroad
travel and maintenance for overseas scholars engaged in collaborative research activity with UK partner(s)
research assistance (based in UK or abroad)
workshops or to advance the programme of research (principally the costs of travel and maintenance for key participants, though organisational costs may be considered)
consumables
specialist software
costs of interpreters in the field
Refer to guidelines for full list: https://www.thebritishacademy.ac.uk/funding/schemes/ba-leverhulme-small-research-grants/guidance-notes/","institutional overheads, or any element that should properly be ascribed to institutional overheads; computer hardware including laptops, electronic notebooks, digital cameras, etc; books and other permanent resources; the preparation of camera-ready copy, copy-editing, proof-reading, indexing, nor any other editorial task; subventions for direct production costs (printing, binding, distribution, marketing etc); costs of publication in electronic media; payment to the principal researcher(s) in lieu of salary, or for personal maintenance at home; replacement teaching costs; travel and maintenance expenses for purposes such as lecture tours or to write up the results of research.",,Unallowable,,No applications with costing in Pure,24-Mar,,,,,,,,,,,,,,,,
Category 3,"International for-profit organisations/ International philanthropy/ International not-for profit organisations

",British Academy,British Academy Conference (BAC) Grant,Principal Researcher payments in lieu of salary are not allowed,Unallowable,"Venue Hire, Accomodation, economy travel, AV services, Catering, speaker visa costs,consumables

Refer to table for full list
https://www.thebritishacademy.ac.uk/documents/5959/Conferences_2027-2028_Scheme_Guidance_Notes.pdf","Keynote speaker fees, advertising fees to promote conferences (BA will promote), consultancy or staff costs,, research assistance.

Refer to table for full list
https://www.thebritishacademy.ac.uk/documents/5959/Conferences_2027-2028_Scheme_Guidance_Notes.pdf",,Unallowable,,No applications with costing in Pure,13-Apr,,,,,,,,,,,,,,,,
Category 3,"International for-profit organisations/ International philanthropy/ International not-for profit organisations

",British Academy,Visiting Fellowships,Unallowable,"Research assistance is allowable under “research expenses” (up to £10,000), but no salary or fee for the applicant is permitted.","Allowable costs (maximum £40,000 total):
• Subsistence and accommodation – up to £15,000
• Research expenses – up to £10,000 (e.g., archival research, training, conferences, dissemination, research assistance)
• Travel expenses – up to £3,000
• Host institution contribution – up to £12,000 (paid to the UK host to support the Fellowship)
• Childcare support – considered as allowable research expenses
• Consumables – specialist software, datasets, photocopies, microfilms, minor items used up during the award

https://www.thebritishacademy.ac.uk/funding/schemes/visiting-fellowships/guidance-notes/","a) Purchasing of assets
b) Research expenses may not be used to pay for: publication costs
c) computer hardware including laptops, electronic notebooks, digital cameras, etc;
d) books and other permanent resources;
e) the preparation of camera-ready copy, copy-editing, proof-reading, indexing, nor any
other editorial task;
f) subventions for direct production costs (printing, binding, distribution, marketing
etc);
g) costs of publication in electronic media;
h) carbon offsetting;
i) open access fees",,Unallowable,,0%,24-Mar,,,,,,,,,,,,,,,,
Category 3,"International for-profit organisations/ International philanthropy/ International not-for profit organisations

",British Academy,Global Professorship,Directly incurred salary costs of the award-holder (to be negotiated),"Research assistance, directly supporting the goals of the Global Professorship (e.g. additional member of staff in the relevant department/team) ","Research expenses, including travel, subsistence, accommodation, consumables, training, conferences, dissemination, and one-off relocation and visa expenses
Refer to guidelines for full list

https://www.thebritishacademy.ac.uk/funding/schemes/global-professorships/guidance-notes/","• purchasing of assets;
• PhD studentships;
• computer hardware including laptops, electronic notebooks, digital cameras, etc;
• books and other permanent resources;
• the preparation of camera-ready copy, copy-editing, proof-reading, indexing, nor any
other editorial task;
• subventions for direct production costs (printing, binding, distribution, marketing etc);
• costs of publication in electronic media;
• carbon offsetting;
• open access fees",,Estates and indirect costs of the UK host institution in administering the award are allowed. No fixed percentage noted.,Not a fixed percentage – but indicative caps are provided (estates up to £20k p.a.; indirect costs up to £45k p.a.). The final amount is subject to negotiation and value‑for‑money assessment.,"Up to £45,000 per annum (indicative) for indirect costs, plus up to £20,000 per annum for estates (if included).",10-Apr,,,,,,,,,,,,,,,,
Category 3,International not-for profit organisations,AXA Research Funds,AXA Chair,"Allowable.
The grant is expected to primarily cover the Chairholder’s salary (annual gross salary) as a full‑time position in the host institution.
The Chairholder must be PhD + 10 years minimum at the time of application.","Allowable.
• Post‑doctoral and PhD expenses (including selection process costs, Junior Research Fellows Grants)
• Research staff salaries","• AXA Chairholder expenses (incl. annual gross salary, travel & accommodation costs, etc.);
• Post-Doctoral, PhD expenses (incl. selection process costs, Junior Research Fellows Grants,
etc.);
• Purchase of scientific equipment and resources (databases, survey costs, consumables,
etc.); and
• Costs associated with the organization of academic and public engagement activities. 

Refer to guidelines: https://axa-research.org/storage/media/1835/AXARF_Chair-application-guidelines_2025.pdf","The AXA Research Fund does not cover expenses that are not directly connected to the Chair Research Program. Therefore, the AXA Research grant cannot be used for administrative and
infrastructural expenses.",,Unallowable,,0%,24-Mar,,,,,,,,,,,,,,,,
Category 3,International government (own purpose),Global Affairs Canada,Unsoliciated proposals/Calls,"	Allowable (as personnel costs). Daily rates for employees (excluding local employees) actually paid for time worked on the project, plus fringe benefits, are eligible. ","	Allowable for:
• Organisation’s employees (daily rates calculated from annual salary plus benefits, divided by 260 days minus allowable time off) – requires timesheets.
• Local employees – actual salaries and fringe benefits in accordance with local laws and practices.
• Subcontractors with arm’s‑length relationship – fees not exceeding fair market value; total subcontracting ≤20% of total contribution.
Refer to guidelines for further information:
https://www.international.gc.ca/world-monde/funding-financement/eligible_costs_guidance-directives_cout_admissibles.aspx?lang=eng","Allowable direct costs include:
• Travel costs (lowest available airfare, economy class; meals, incidentals, accommodation per Treasury Board directives; visa costs)
• Training costs for students/trainees (per Guide to Managing Award Holders) and other training costs (course development, materials, translation, meeting costs)
• Goods, assets, supplies (purchase, rental, maintenance, transport, insurance – at fair market value)
• Project administration: telecommunications, mail, courier, translation, printing, production, meeting/conference costs, seminars/workshops, bank transfer fees
• Overseas costs (rent, utilities, office expenses, computer, maintenance – subject to prior written approval)

Refer to guidelines for further information:
https://www.international.gc.ca/world-monde/funding-financement/eligible_costs_guidance-directives_cout_admissibles.aspx?lang=eng","Explicitly not funded:
• Entertainment expenses
• Costs incurred before the effective date of the agreement
• Gifts
• Travel insurance (except emergency health travel insurance for volunteers or as approved)
• Carrying charges, membership fees, patents
• Immunisations or medications (except vaccines for volunteers or as allowed)
• Interest expenses
• Costs related to non‑authorised accompanying family members",,"For non‑Canadian organisations (including Australian institutions), the overhead compensation rate(s) will be negotiated on a case‑by‑case basis. No fixed percentage is provided.
• Flow‑through funds and large capital expenditures (each item ≥$100,000) are not eligible for overhead.","	Negotiated (case‑by‑case) – not fixed",Not applicable (depends on negotiation),10-Apr,,,,,,,,,,,,,,,,
Category 3,International not-for profit organisations,Simons Foundation,"All Schemes (The 2022 application was in relation to the Simons Collaboration on Plasticity and the Aging Brain award), which follows the general grant guidelines. Some awards have more specific costs allowed/not allowed","Allowable.
• No salary cap for Principal Investigators (PIs) or other faculty; compensation prorated according to percent effort on the grant.
• No minimum percent effort required, but PIs are expected to participate in Foundation‑organized activities. ","Allowable for:
• Postdoctoral research associates (or equivalent employees) – must be employees with benefits; no salary cap.
• Graduate research assistants – no cap on compensation package (prorated).
• Postdoctoral fellows – stipend amounts outlined in award letter; fellowship stipends may not be supplemented without authorisation.
Refer to the link below for the full description

https://www.simonsfoundation.org/funding-opportunities/policies-and-procedures","	Allowable direct costs include:
• Research supplies (no detailed justification required unless stated)
• Equipment with a unit cost of $50,000 or less (owned by the PI’s institution)
• Publication expenses, including Open Access costs
• Travel that is reasonable, necessary, and directly related to the scope of work",Not specified in guidelines,,"Yes, capped at 20% of direct costs (non‑negotiable).
Exceptions: equipment with a unit cost over $10,000, tuition, and any portion of each subcontractor cost in excess of $25,000.
• Primary institution may take indirect costs on the first $25,000 of each subcontract.
• Subcontractor’s indirect costs may not exceed 20% of its modified total direct costs.
• No indirect costs may be taken on Simons Foundation postdoctoral fellowships.
https://www.simonsfoundation.org/funding-opportunities/policies-and-procedures
","	20% of direct costs (with exceptions)","20% (of eligible direct costs, excluding equipment >$10,000, tuition, and subcontract amounts >$25,000)",10-Apr,,,,,,,,,,,,,,,,
Category 3,International not-for profit organisations,Leukemia & Lymphoma Society,Discovery Grant Program (DGP),"Personnel Expenses: the PI and Co-PI’s salaries and fringe benefits must be capped
at 40% of the total grant amount, except in exceptional circumstances where a
higher cap is justified by the applicant",refer to column E,"Permissible Direct Costs
• Supplies & Materials requests should be itemized by category
• Other Research Costs (e.g., animal care, pathology services, etc.)
• Equipment Purchase requests must identify each item of equipment with an
acquisition cost of not more than a total of $25,000 annually
• Travel Expense requests cannot exceed $3,000 per year of the award
• Other Direct Cost requests can include subcontract costs (e.g., external sequencing
service)


https://www.lls.org/sites/default/files/2023-09/DGP%20Guidelines%20and%20Instructions.pdf","Impermissible Costs include membership dues, tuition, books, journals, and publication costs.",,"Indirect costs are limited to 10% of the total award value of $750,000, or $250,000 per year. For institutions that do not choose to use these funds for indirect costs, LLS allows the funds to be applied to the direct costs.",,No applications with costing in Pure,13-Apr,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Dementia Australia Research Foundation Ltd,DARF Project Grant,"CI salary may be requested only if:
• The CI has no other source of salary;
• The request is well justified; and
• It does not make up 100% of the budget (other project costs must be included).","Allowable for:
• Salaries of lab and/or research assistants
• PhD or Masters stipends for research personnel (not the CI) – must be justified and directly linked to project outcomes.","Funding can only be applied to costs that are directly related to achieving the objectives and outcomes of the project, including reimbursements to people living with dementia, their carers and families and/or the wider public for reasonable costsassociated with their involvement in the project (e.g. their time, travel costs, phone calls). It is also recommended that applicants include recruitment costs in the budget (e.g. funding for advertising and participation incentives).

costs associated with organising meetings with policy makers or advisory group members can be included in the budget, where they directly relate to a specific project activity.

Apart from Travel Grants, conference travel cannot be included in the budget, however, costs associated with open access publications can be included.

Refer to Guidelines for full information:
https://www.dementia.org.au/sites/default/files/2025-06/2025_DARF_InformationForApplicants.pdf?slug=sites&slug=default&slug=files&slug=2025-06&slug=2025_DARF_InformationForApplicants.pdf
","University infrastructure costs or levies should not be included in the budget

https://www.dementia.org.au/sites/default/files/2025-06/2025_DARF_InformationForApplicants.pdf?slug=sites&slug=default&slug=files&slug=2025-06&slug=2025_DARF_InformationForApplicants.pdf",,Unallowable,,No applications with costing in Pure,24-Mar,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Dementia Australia Research Foundation Ltd,Mid-Career Research Fellowships/Postdoctoral Fellowships,"Salary component included in the award.
• Post‑doctoral Fellowship: salary $118,000 p.a. (may be indexed) + $85,000 project grant.
• Mid‑Career Fellowship: salary $157,000 p.a. (may be indexed) + $85,000 project grant.
• Race Against Dementia Fellowship: salary $118,000 p.a. + $125,000 project grant ($85,000 in first 3 years, $40,000 after satisfactory 3‑year review).
• Host institution covers salary and on‑cost expenses above the salary component.","	CI costs are covered by the salary component.
The project grant component may be used for:
• Research assistance salaries
• PhD/Masters stipends for research personnel (not the CI)
• Reimbursements for people with lived experience (time, travel, phone calls)
• Recruitment costs (advertising, incentives)
• Open access publication costs
• For Race Against Dementia Fellowship: secondment costs (visa, relocation, travel)",Any excess salary can also be put towards research expenses. Refer to DARF project Grant other costs allowable for information.,"	Not funded:
• University infrastructure costs or levies (including standard equipment like computer hardware)
• Conference travel (except under separate Travel Grants)
• Indirect / overhead costs",,Unallowable,,0%,24-Mar,,,,,,,,,,,,,,,,
Category 3,"Australian not-for profit organisations/Australian for-profit organisations
",Norman Beischer Medical Research Foundation,Innovation Grants,Not specified in guidelines,"	Allowable for research assistants (salary).
No mention of salary for the Principal Investigator.","consumable items, and equipment","In general, funds are not available for secretarial assistance or personal computers, or items considered as standard for any research institution. Funds are not available for travel expenses.

https://nbmrf.org.au/wp-content/uploads/2023/06/2024-Innovation-Grant-Application-Guidelines.pdf",,Not specified in guidelines,,0%,24-Mar,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Australian Academy of Science,"The Thomas Davies Research Grant for Marine, Soil and Plant Biology",Unallowable,Research assistant salaries allowed,"Funding may be used towards the costs of research assistant salaries, equipment and other costs not covered from other sources.

https://www.science.org.au/supporting-science/awards-and-opportunities/thomas-davies-research-grant-marine-soil-and-plant-biology-0","Funding may not cover bench fees, managerial costs, insurance or visa costs or primary researcher salaries.",,"No. Overhead expenses (bench fees, managerial, infrastructure costs) are explicitly excluded. ",,0%,24-Mar,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Australian Academy of Science,Australian Academy of Science Fellowships to the Lindau Nobel Laureate Meetings,"This is a grant specifically to attend the LIndau Nobel Laureate Meeting, therefore only costs in Column G are allowed","This is a grant specifically to attend the LIndau Nobel Laureate Meeting, therefore only costs in Column G are allowed","an international return economy airfare from Australia to Germany (up to AUD4,000) organised by the Academy
the registration fee to participate in the Lindau Nobel Laureate Meeting of EUR2,500 (up to AUD4,000). The registration fee includes accommodation from 30 June- 5 July inclusive

https://www.science.org.au/supporting-science/awards-and-opportunities/lindau-nobel-laureate-meetings","This is a grant specifically to attend the LIndau Nobel Laureate Meeting, therefore only costs in Column G are allowed",,"This is a grant specifically to attend the LIndau Nobel Laureate Meeting, therefore only costs in Column G are allowed",,No applications with costing in Pure,24-Mar,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Australian Academy of Science,The Margaret Middleton Fund for endangered Australian native vertebrate animals,Salaries not supported,Salaries not supported,"Journal page charges up to a maximum of $2,000 may be supported.","Conference travel is not supported
This grant does not provide funds for bench fees, managerial, visa, insurance or infrastructure costs, or salaries.

https://www.science.org.au/supporting-science/awards-and-opportunities/margaret-middleton-fund-endangered-australian-native-vertebrate-animals-0",,Not specified in guidelines,,0%,24-Mar,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Stroke Foundation,Seed Grant,"	Not specified for CI salary.
The grant supports personnel costs such as research assistants, casual help, and lived experience remuneration. The Principal Investigator’s salary is not listed as an eligible item.","Allowable for:
• Research assistants
• Casual help
• Lived experience remuneration (sitting fees, out‑of‑pocket expenses)
• Salary on‑costs may be included.","• Travel (domestic/international)
• Consumables
• Small items of equipment necessary to carry out the project
• Other assistance necessary for the project","• Indirect costs (institutional fees, infrastructure, overheads)
• Equipment‑only proposals
• PhD stipend top‑ups
• Conference registration, presentation of results, publication costs (outside scope)",,"Stroke Foundation Research Grants are subject to conditions of award and do not provide funding for indirect costs (i.e. institutional fees, infrastructure, overheads)

https://strokefoundation.org.au/what-we-do/research/research-grants",,No applications with costing in Pure,24-Mar,,,,,,,,,,,,,,,,
Category 3,"International not-for profit organisations/International for-profit organisations
",EuroQol Research Foundation,"Joint Call for Proposal (includes research grants, individual grants, dissemination and Knowledge transfer","Allowable as personnel costs, subject to the Foundation’s maximum daily rates:
• Senior researchers (≥ associate professor): €138.50/hour, €1108.00/day
• Less experienced researchers (post‑docs, assistant professors): €105.50/hour, €844.00/day
• Students & office staff: €55.25/hour, €442.00/day","Allowable for research staff, including preparation, data acquisition, and analysis. Rates are maxima; institutions may apply lower rates. Salaries for EuroQol Office staff can be included at the senior researcher rate if agreed.","• Data acquisition costs
• Material costs and other preparation costs
• Dissemination costs

Refer to guidelines for further information on each category:
https://euroqol-domain.ams3.digitaloceanspaces.com/wp-content/uploads/2026/02/16125721/EuroQol-21st-Joint-Call-for-Proposals-with-appendices.pdf

","It is not possible to request funding to cover indirect costs or overheads. 

Institutional overhead expenses, indirects, material costs and travel expenses are not covered for Seed Grants.

https://euroqol-domain.ams3.digitaloceanspaces.com/wp-content/uploads/2026/02/16125721/EuroQol-21st-Joint-Call-for-Proposals-with-appendices.pdf
",,It is not possible to request funding to cover indirect costs or overheads for both individual grants + research grants,,0%,24-Mar,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Arthritis Australia,Project Grants,Not mentioned,Not specified in guidelines,"Research funds may only be used as direct costs for the specific purpose noted in the application.

https://arthritisaustralia.com.au/wordpress/wp-content/uploads/2025/04/Arthritis-Australia-National-Research-Program-Grant-Guidelines-2026.pdf",Not specified in guidelines,,"Unallowable - assumed not as only ""Direct costs"" are allowed.",,0%,24-Mar,,,,,,,,,,,,,,,,
Category 3,Australian not-for profit organisations,Arthritis Australia,ARA Victorian Fellowship ,"	Not specified. The fellowship is designed to support the self‑development of a trainee/rheumatologist (the award recipient). The funds may be used for the recipient’s salary/stipend and associated costs.",Allowable for the recipient’s salary or stipend during the training/research activity. No further detail on other personnel. ,"The fellowship (up to $50,000) may be used for activities that support the recipient’s development in a clinical or research discipline in Rheumatology, including:
• Undertaking a higher degree in Victoria
• Specialised clinical training (including interstate)
• A research project under supervision, with a view to publication and dissemination
• Associated costs such as travel, accommodation, research expenses, or clinical training costs, as justified in the application.
https://arthritisaustralia.com.au/wordpress/wp-content/uploads/2025/04/Arthritis-Australia-National-Research-Program-Grant-Guidelines-2026.pdf",Not specified in guidelines,,Not specified in guidelines,,No applications with costing in Pure,24-Mar,,,,,,,,,,,,,,,,
Category 3,"International not-for profit organisations/ International for-profit organisations

",National Multiple Sclerosis Society,Research Grant,"The principal investigator must spend at least 5% of his or her time working on the
grant, with or without salary support. However, the salary support may not exceed 75% of the PI’s salary.
All other investigators and co-investigators are not impacted by the PI percent effort restrictions and their
salary may be requested in proportion to the time they spend directly on research supported by the grant","Salaries for technical and non-professional personnel, including stipend or salary for graduate student workers,
may be requested in proportion to the time they will spend on research directly supported by the grant.

Postdoctoral researchers may be supported on research grants, as technical or non-professional
collaborators.

Costs to the grantee institution of Social Security, retirement and group insurance plans may be requested in the
application for persons whose salaries are to be paid from the grant. 

Refer to guidelines for further information: https://optimyapp-public.s3.eu-central-1.amazonaws.com/r6fnq003xnni/NMSS%20RESEARCH%20GRANT%20MANUAL_2025.pdf","Patient Care Costs, Consumable Supplies, Travel, Permanent Equipment.

Refer to grant guidelines for the full description: https://optimyapp-public.s3.eu-central-1.amazonaws.com/r6fnq003xnni/NMSS%20RESEARCH%20GRANT%20MANUAL_2025.pdf","Grant funds may not be used for facilities and administration costs (F&A). This includes but is not limited to administrative support staff, purchasing, accounting, financial record keeping, or laundry and maintenance services. With the exception of some training programs, funds may not be used to offset any tuition or other similar fees, or dues to organizations such as federations or societies. 

Construction or renovation costs are not permissible expenditures under any circumstances.

Additionally, publication fees in excess of $1500 per year must be clearly justified and, for multiyear projects, the Society will not pay publication fees in the first year.

Refer to grant guidelines for the full description: https://optimyapp-public.s3.eu-central-1.amazonaws.com/r6fnq003xnni/NMSS%20RESEARCH%20GRANT%20MANUAL_2025.pdf

",,Indirect costs will not be provided for grants or subcontracts to institutions outside of the United States. ,,0%,13-Apr,,,,,,,,,,,,,,,,
Category 3,International not-for profit organisations,LEO Foundation,All schemes,The Grant shall be used strictly and solely towards the running and completion of the Project in accordance with the Project description and Project budget outlined in the Grant application and the Project Specific Terms,The Grant shall be used strictly and solely towards the running and completion of the Project in accordance with the Project description and Project budget outlined in the Grant application and the Project Specific Terms,The Grant shall be used strictly and solely towards the running and completion of the Project in accordance with the Project description and Project budget outlined in the Grant application and the Project Specific Terms,Not specified in guidelines,," The Grant must not be applied towards payment of any administration fees, overheads or similar charges imposed by the Host or any third party in excess of 5% of the total Grant sum.

https://leo-foundation.org/en/grants-and-awards/research-grants/grant-terms-and-conditions/",,0%,"there are different schemes, not sure if I add a new row",,,,,,,,,,,,,,,,
Category 3,"International government (other) – USA Gov/International government (own purpose) – USA Gov
",Office of Naval Research,Office of Naval Research - Long Range Broad Agency Announcement for Navy and Marine Corps Science & Technology,"	Allowable as direct labor. Personnel costs (salaries, wages) of the Principal Investigator, other key personnel, and research staff are allowable when directly allocable to the project.","Direct Labour, Fringe Benefits, labour O/H. 

No specific grant guidelines, however refer to cost categories in cost proposal template provided on the website :https://www.nre.navy.mil/assets/migration/cost-proposal-template.xlsx ","Subcontracts, consultants, materials, supplies, equipment, travel, material handling, other direct costs (such as rental fees, shipping costs, license fees), G&A, Facilities Cost of Money.

No specific grant guidelines, however refer to cost categories in cost proposal template provided on the website :https://www.nre.navy.mil/assets/migration/cost-proposal-template.xlsx ",Not specified in guidelines,,"Yes, for all award types.
• For grants/cooperative agreements: F&A (indirect) costs are allowable at the organization’s negotiated rate (with a copy of the rate agreement provided) or the de minimis rate of 10% of modified total direct costs if no negotiated rate exists. (Section: Full Proposal Requirements – Research & Related Budget)
• For contracts/other transactions: overhead, G&A, and material handling costs are allowable as part of the cost proposal, subject to negotiation. (Section: Full Proposal Requirements – Cost Proposal Template)",Negotiated rate (varies by institution) or de minimis 10% for grants/cooperative agreements without a negotiated rate. No fixed percentage is set in the BAA.,rates are either negotiated or the de minimis 10% (for grants) applies. ,24-Mar,,,,,,,,,,,,,,,,
